townland_name,has_parish,has_barony,has_county,detected_at
BALLYCLOGH NORTH,False,False,False,2026-06-09
BALLYCLOGH SOUTH,False,False,False,2026-06-09
BALLYDOWLING,False,False,False,2026-06-09
BALLYFLANIGAN,False,False,False,2026-06-09
BALLYGANNON BEG,False,False,False,2026-06-09
BALLYGANNON MORE,False,False,False,2026-06-09
BALLYHARA ED DUNGANSTOWN SOUTH,False,False,False,2026-06-09
BALLYHERRIG,False,False,False,2026-06-09
BALLYKEPPOGE,False,False,False,2026-06-09
BALLYMONEY ED DUNGANSTOWN EAST,False,False,False,2026-06-09
BALLYMURRIN LOWER,False,False,False,2026-06-09
BALLYMURRIN UPPER,False,False,False,2026-06-09
BALLYNACARRIG,False,False,False,2026-06-09
BALLYNAGRAN ED DUNGANSTOWN EAST,False,False,False,2026-06-09
BALLYNAPARK,False,False,False,2026-06-09
BALLYSALLAGH EAST,False,False,False,2026-06-09
BALLYSALLAGH WEST,False,False,False,2026-06-09
BALLYVALTRON,False,False,False,2026-06-09
BELLPARK,False,False,False,2026-06-09
BOLAGH LOWER,False,False,False,2026-06-09
BOLAGH UPPER,False,False,False,2026-06-09
BONABROCKA,False,False,False,2026-06-09
BONAGREW,False,False,False,2026-06-09
BONAGREW LITTLE,False,False,False,2026-06-09
BRITTAS,False,False,False,2026-06-09
CARRIGMORE,False,False,False,2026-06-09
CASTLETIMON,False,False,False,2026-06-09
CLOGHOGE,False,False,False,2026-06-09
COOLACORK,False,False,False,2026-06-09
CORNAGOWER EAST,False,False,False,2026-06-09
CORNAGOWER WEST,False,False,False,2026-06-09
CRANAGH,False,False,False,2026-06-09
CRONAKIP,False,False,False,2026-06-09
CULLEN LOWER,False,False,False,2026-06-09
CULLEN UPPER,False,False,False,2026-06-09
CUNNIAMSTOWN BIG,False,False,False,2026-06-09
CUNNIAMSTOWN LITTLE,False,False,False,2026-06-09
DUNGANSTOWN EAST,False,False,False,2026-06-09
DUNGANSTOWN WEST,False,False,False,2026-06-09
ENNISBOYNE,False,False,False,2026-06-09
FURZEDITCH EAST,False,False,False,2026-06-09
FURZEDITCH WEST,False,False,False,2026-06-09
GORMANSTOWN,False,False,False,2026-06-09
KILBOY,False,False,False,2026-06-09
KILBRIDE ED DUNGANSTOWN EAST,False,False,False,2026-06-09
KILCANDRA ED DUNGANSTOWN WEST,False,False,False,2026-06-09
KILMACURRA EAST,False,False,False,2026-06-09
KILMACURRA WEST,False,False,False,2026-06-09
KILMANOGE,False,False,False,2026-06-09
MAGHERABEG,False,False,False,2026-06-09
MAGHERAMORE,False,False,False,2026-06-09
NEWBAWN,False,False,False,2026-06-09
RAHERD,False,False,False,2026-06-09
ROSCATH,False,False,False,2026-06-09
THREEMILEWATER,False,False,False,2026-06-09
TOGHER,False,False,False,2026-06-09
TONLEGEE,False,False,False,2026-06-09
TULLYLUSK,False,False,False,2026-06-09
WESTASTON DEMESNE,False,False,False,2026-06-09
WESTASTON HILL,False,False,False,2026-06-09
BALLINAMEESDA T,False,False,False,2026-06-09
ARDNABOY,False,False,False,2026-06-09
BALLINASKEA,False,False,False,2026-06-09
BALLYMOYLE,False,False,False,2026-06-09
BALLYTUNNY,False,False,False,2026-06-09
CLONPADDEN,False,False,False,2026-06-09
COOLMORE,False,False,False,2026-06-09
ENNEREILLY,False,False,False,2026-06-09
KILPATRICK,False,False,False,2026-06-09
SALLYMOUNT,False,False,False,2026-06-09
SCRATENAGH,False,False,False,2026-06-09
BALLINACLOGH,False,False,False,2026-06-09
BALLINTESKIN,False,False,False,2026-06-09
BALLYNAGRAN ED GLENEALY,False,False,False,2026-06-09
COOLBEG,False,False,False,2026-06-09
KILCANDRA ED GLENEALY,False,False,False,2026-06-09
KILNAMANAGH BEG,False,False,False,2026-06-09
KILNAMANAGH MORE,False,False,False,2026-06-09
JOHNSTOWN HILL,False,False,False,2026-06-09
