source_file,source_townland,source_townland_upper,geojson_townland,match_type,match_score,record_count,approval_status
wicklow-census-data.csv,PARKNASHAW,PARKNASHAW,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYHUBBOCK UPPER,BALLYHUBBOCK UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,SUGARLOAF,SUGARLOAF,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TIGRONEY EAST,TIGRONEY EAST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILMARTIN,KILMARTIN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KYLE,KYLE,KYLE,EXACT,100,1539,APPROVED
wicklow-census-data.csv,CURRAVANISH,CURRAVANISH,CURRAVANISH,EXACT,100,1539,APPROVED
wicklow-census-data.csv,LUGDUFF,LUGDUFF,LUGDUFF,EXACT,100,1539,APPROVED
wicklow-census-data.csv,CLONSHANNON,CLONSHANNON,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,GRANGECON DEMESNE,GRANGECON DEMESNE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BARONSTOWN LOWER,BARONSTOWN LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,STUDFIELD SOUTH,STUDFIELD SOUTH,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TOTAL,TOTAL,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYGILLAROE,BALLYGILLAROE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,RATHBALLYLONG,RATHBALLYLONG,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYGARRET,BALLYGARRET,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TEMPLELYON UPPER,TEMPLELYON UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLINTOBER,BALLINTOBER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MOYNE,MOYNE,MOYNE,EXACT,100,1539,APPROVED
wicklow-census-data.csv,MOUNTPLEASANT,MOUNTPLEASANT,MOUNTPLEASANT,EXACT,100,1539,APPROVED
wicklow-census-data.csv,BALLYNULTAGH,BALLYNULTAGH,BALLYNULTAGH,EXACT,100,1539,APPROVED
wicklow-census-data.csv,CASTLERUDDERY UPPER,CASTLERUDDERY UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILPOOLE LOWER,KILPOOLE LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BLESSINGTON T,BLESSINGTON T,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLINDERRY LOWER,BALLINDERRY LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TOMACORK,TOMACORK,TOMACORK,EXACT,100,1539,APPROVED
wicklow-census-data.csv,KELSHABEG,KELSHABEG,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MUSKEAGH,MUSKEAGH,MUSKEAGH,EXACT,100,1539,APPROVED
wicklow-census-data.csv,BLESSINGTON DEMESNE,BLESSINGTON DEMESNE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILDAY,KILDAY,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,RATHSHANMORE EAST,RATHSHANMORE EAST,RATHSHANMORE EAST,EXACT,100,1539,APPROVED
wicklow-census-data.csv,TIGLIN (ED Ballycullen),TIGLIN (ED BALLYCULLEN),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLARDPARK,BALLARDPARK,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,JOHNSTOWN LOWER,JOHNSTOWN LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILBAYLET LOWER,KILBAYLET LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILCARRA WEST,KILCARRA WEST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MULLANACRANNA,MULLANACRANNA,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,SHELTON ABBEY,SHELTON ABBEY,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,TINAHELY T,TINAHELY T,TINAHELY,FUZZY,89,1539,PENDING
wicklow-census-data.csv,DOWNINGS,DOWNINGS,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYMACAHARA,BALLYMACAHARA,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MULLANS SOUTH,MULLANS SOUTH,MULLANS SOUTH,EXACT,100,1539,APPROVED
wicklow-census-data.csv,SLEAMAINE or BALLINVALLA,SLEAMAINE OR BALLINVALLA,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CURRAGHLAWN,CURRAGHLAWN,CURRAGHLAWN,EXACT,100,1539,APPROVED
wicklow-census-data.csv,KILL,KILL,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYDONAGH,BALLYDONAGH,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,ARKLOW T,ARKLOW T,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BRAY T PART OF (X),BRAY T PART OF (X),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BLAKESTOWN LOWER,BLAKESTOWN LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BONAGREW LITTLE,BONAGREW LITTLE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLEESE WOOD,BALLEESE WOOD,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,IRISHTOWN PARK,IRISHTOWN PARK,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MONEYMEEN,MONEYMEEN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,DUNLAVIN T,DUNLAVIN T,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILQUEENY,KILQUEENY,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYGUILE BEG,BALLYGUILE BEG,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYRAHEEN,BALLYRAHEEN,BALLYRAHEEN,EXACT,100,1539,APPROVED
wicklow-census-data.csv,KILLABEG,KILLABEG,KILLABEG,EXACT,100,1539,APPROVED
wicklow-census-data.csv,DERRYBAWN,DERRYBAWN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,COOLAHULLIN,COOLAHULLIN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,OLDPADDOCKS,OLDPADDOCKS,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KEELOGE LOWER,KEELOGE LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BAWNOGE (ED Rathdangan),BAWNOGE (ED RATHDANGAN),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CORNAN EAST,CORNAN EAST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,MERGINSTOWN,MERGINSTOWN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,EADESTOWN HILL,EADESTOWN HILL,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,WICKLOW T,WICKLOW T,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CASTLEMACADAM,CASTLEMACADAM,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,ROSSANA LOWER,ROSSANA LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,FURZEDITCH WEST,FURZEDITCH WEST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,ROSBANE,ROSBANE,ROSBANE,EXACT,100,1539,APPROVED
wicklow-census-data.csv,LUGNAGROAGH,LUGNAGROAGH,,NO_MATCH,0,1539,NEEDS_REVIEW
